id,correctness,style,response_time,model_name,temperature,difficulty
4,1.0,0.1,0.8664862598691667,granite3.3:2b,0.3,easy
7,1.0,0.2,0.91583251953125,granite3.3:2b,0.3,easy
5,1.0,0.2,0.9384334938866752,granite3.3:2b,0.3,medium
6,0.0,0.2,0.966881445475987,granite3.3:2b,0.3,medium
2,1.0,0.2,0.9089635610580444,granite3.3:2b,0.3,hard
1,0.8,0.2,0.5364211968013218,granite3.3:2b,0.3,hard
11,0.0,0.2,0.8550177812576294,granite3.3:2b,0.3,easy
9,0.0,0.3,0.9583627496446881,granite3.3:2b,0.3,medium
15,0.0,0.3,0.794181261743818,granite3.3:2b,0.3,medium
3,0.3,0.2,0.8415791477475847,granite3.3:2b,0.3,easy
14,0.0,0.2,0.8042654309953963,granite3.3:2b,0.3,hard
10,0.0,0.4,0.9199960572378976,granite3.3:2b,0.3,medium
12,0.0,0.4,0.8524396760123116,granite3.3:2b,0.3,easy
8,0.0,0.6,0.9700357403073993,granite3.3:2b,0.3,easy
13,0.0,0.3,0.7775465250015259,granite3.3:2b,0.3,hard
18,0.0,1.0,0.7970186471939087,granite3.3:2b,0.3,hard
16,0.0,1.0,0.8015426567622593,granite3.3:2b,0.3,medium
17,0.0,0.2,0.7224053314753941,granite3.3:2b,0.3,hard
